Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO COMUNITÁRIA IÚNENSE DE RADIODIFUSÃO - ACIR,RUA ODINEIR DE FREITAS CASTRO,Iúna,ES,( S ),20S205900/41W315600,200 / 87.90,ZYL448
FUNDAÇÃO ZILDA SARTÓRIO ALTOÉ,AVENIDA 09 DE AGOSTO,Jaguaré,ES,( S ),18S542100/40W042000,200 / 87.90,ZYL425
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE JERÔNIMO MONTEIRO,,Jerônimo Monteiro,ES,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E INFORMAÇÃO LIVRE DE JOÃO NEIVA,RUA ONZE DE MAIO,João Neiva,ES,( S ),19S452500/40W232000,200 / 87.90,ZYC538
ASSOCIACAO COMUNITARIA E CULTURAL LARANJENSE (ASCOL),RUA ADALGIZA DE PAULA OLIVEIRA,Laranja da Terra,ES,,19S535800/41W033100,200 / 87.90,ZYL451
ASSOCIACAO COMUNITARIA DE DESENVOLVIMENTO CULTURAL E ARTISTICO DE MANTENOPOLIS - ACOMANT,RUA FLORIANO RUBIM,Mantenópolis,ES,( S ),18S514800/41W072000,200 / 87.90,ZYL462
ASSOCIACAO RADIO COMUNITARIA DE MARATAIZES,,Marataízes,ES,( N ),,200 / 87.90,
ASSOCIAÇÃO AMBIENTALISTA DE MARILÃNDIA,AVENIDA DOM BOSCO,Marilândia,ES,( S ),19S244000/40W323800,200 / 87.90,ZYL452
RÁDIO CLUBE DE MIMOSO DO SUL,LADEIRA DA IGUALDADE,Mimoso do Sul,ES,( S ),21S034500/41W214700,200 / 87.90,ZYL453
ASSOCIAÇÃO EDUCACIONAL E SOCIAL DE MONTANHA,"RUA ANCHIETA, S/N",Montanha,ES,( S ),18S073000/40W220300,200 / 87.90,ZYC521
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE PIACU,,Muniz Freire,ES,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL E SOCIAL DE MUNIZ FREIRE,RUA FÉLIX MACHADO,Muniz Freire,ES,( S ),20S273400/41W245000,200 / 87.90,ZYS925
RADIO CLUBE DE MUQUI,"RUA CORONEL LUIZ CARLOS, S/NR",Muqui,ES,( S ),20S570700/41W204500,200 / 87.90,ZYC536
ASSOCIAÇÃO DE MORADORES DO BAIRRO RÚBIA,RUA CALEGARI C/ PLACIDINO A. DE FREITAS,Nova Venécia,ES,( S ),18S415100/40W234900,200 / 87.90,ZYL420
ASSOCIAÇÃO UNIDOS PARA A COMUNICAÇÃO DA BOA NOVA EM PANCAS,AVENIDA JOSE NUNES DE MIRANDA,Pancas,ES,( S ),19S133700/40W510300,200 / 87.90,ZYC533
ASSOCIACAO COMUN.DE RADIOD.P/ DES.SOCIAL E CULT.DE P.CANARIO,"AV. SALVADOR, 592 - SALA 401",Pedro Canário,ES,( S ),18S170800/39W571700,200 / 87.90,ZYL417
ASSOCIACAO UNIDOS PARA COMUNICACAO DE PINHEIROS,"RUA LOUZIVAL CARVALHO, 251, 1Ì ANDAR",Pinheiros,ES,( S ),18S220900/40W124100,200 / 87.90,ZYC537
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE PIÚMA - ARCOP,AVENIDA EDUARDO RODRIGUES,Piúma,ES,( S ),20S501900/40W434500,200 / 87.90,ZYC534
ASSOCIACAO CULTURAL DE RADIO COMUNITARIA DE SANTA ANA,AVENIDA 14 DE SETEMBRO; 478,Rio Bananal,ES,( S ),19S162600/40W191700,200 / 87.90,ZYL423
ASSOCIACAO - RADIO COMUNITARIA MENSAGEM FM,RUA OSTÁCIO MOTTA,Rio Novo do Sul,ES,( S ),20S520600/40W561600,200 / 87.90,ZYL418
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA PORTO DE CACHOEIRA DE SANTA LEOPOLDINA,LADEIRA ROSALINA RIBEIRO NUNES,Santa Leopoldina,ES,,20S055400/40W313500,253 / 98.50,ZYS932
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE SANTA MARIA DE JETIBÁ - ES,AV. FREDERICO GRULKE,Santa Maria de Jetibá,ES,( S ),20S011000/40W443300,253 / 98.50,ZYL416
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL TERESENSE,LADEIRA VIRGÍLIO LAMBERT,Santa Teresa,ES,( S ),19S555800/40W355100,253 / 98.50,ZYC524
ASSOCIAÇÃO EDUCACIONAL E CULTURAL DE SÃO GABRIEL DA PALHA,RUA HILÁRIO VIRGUINI,São Gabriel da Palha,ES,( S ),19S014200/40W320400,200 / 87.90,ZYL457
ASSOCIAÇÃO DE AMIGOS E COLABORADORES DO PARQUE,RUA SÃO GABRIEL DA PALHA;,São Mateus,ES,,18S441100/39W451400,200 / 87.90,ZYS933
ASSOCIACAO DE DIFUSAO COMUNITARIA ALTERNATIVA FM,,São Roque do Canaã,ES,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL DE RÁDIO COMUNITÁRIA DE CENTRAL CARAPINA,AVENIDA  VITORIA,Serra,ES,( S ),20S134800/40W162500,253 / 98.50,ZYL460
ASSOCIAÇÃO CULTURAL DE RÁDIO COMUNITÁRIA DE SERRA - SEDE,RUA  FLORIANO PEIXOTO,Serra,ES,( S ),20S073100/40W184400,253 / 98.50,ZYS934
ASSOCIAÇÃO DE RÁDIO E CULTURA,RUA DAS ACÁCIAS,Serra,ES,( S ),20S132500/40W124300,253 / 98.50,ZYS919
ASSOCIAÇÃO CULTURAL DE RÁDIO COMUNITÁRIA DE SOORETAMA - ES,AVENIDA VISTA ALEGRE,Sooretama,ES,( S ),19S114900/40W055200,200 / 87.90,ZYL463
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE VENDA NOVA DO IMIGRANTE,AVENIDA ÂNGELO ALTOÉ - SALA 01,Venda Nova do Imigrante,ES,( S ),20S194400/41W075000,200 / 87.90,ZYL419
ASSOCIAÇÃO DE COMUNICAÇÃO DA RÁDIO COMUNITÁRIA VILA PAVÃO QUE QUEREMOS,RUA ADELAIDE RAMLOW,Vila Pavão,ES,( S ),18S371000/40W360100,200 / 87.90,ZYS911
ASSOCIAÇÃO BENEFICENTE CRISTÃ,RUA PROFESSOR JOÃO CARDOSO,Vila Velha,ES,,20S252300/40W193400,253 / 98.50,ZYS920
ASSOCIAÇÃO DOS MORADORES DA PRAIA DA COSTA,RUA HUGO MUSSO,Vila Velha,ES,( S ),20S201200/40W170000,253 / 98.50,ZYL456
ASSOCIAÇÃO RADIOFÔNICA BENEFICENTE GRANDE COBILÂNDIA VILA VELHA - ES,RUA  JACUPEMBA,Vila Velha,ES,,20S214900/40W211500,253 / 98.50,ZYS923
ASSOCIAÇÃO DE MORADORES DA PRAIA DO CANTO,RUA ALEIXO NETO; 454 - SALA 703,Vitória,ES,( S ),20S175300/40W174300,253 / 98.50,ZYL429
ASSOCIAÇÃO COMUNITÁRIA DE ABADIA DE GOIÁS,RUA SANTA RITA DE CÁSSIA - QUADRA 08 - LOTE 01,Abadia de Goiás,GO,,16S452400/49W261400,200 / 87.90,ZYT271
ASSOCIACAO COMUNITARIA DE ABADIANIA,"PRACA DA FEIRA, QUADRA 09, LOTE 01",Abadiânia,GO,( S ),16S112800/48W424900,200 / 87.90,ZYC583
ASSOCIACAO COMUNITARIA LIBERDADE ACREUNENSE,"RUA JERONIMO MARTINS MARQUES, 39",Acreúna,GO,( S ),17S234400/50W224100,200 / 87.90,ZYC619
ASSOCIAÇÃO RÁDIO COMUNITÁRIA ÁGUA LIMPA,,Água Limpa,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO LIBERDADE COMUNITÁRIA DE RADIODIFUSÃO DE ÁGUAS LINDAS DE GOIÁS - GO,QUADRA 53 - LOTE 01 - LOJA 01 - SETOR 01,Águas Lindas de Goiás,GO,( S ),15S443900/48W154500,251 / 98.10,ZYT225
ASSOCIAÇÃO VIZINHANÇA DE DIFUSÃO COMUNITÁRIA DE ÁGUAS LINDAS DE GOIÁS,QUADRA 02 - LOTE 22,Águas Lindas de Goiás,GO,( S ),15S452300/48W194500,251 / 98.10,ZYV905
ASSOCIACAO DOS MORADORES E AMIGOS DO NOVA FLORIDA,AVENIDA VALE DO SOL - QUADRA 54 - LOTE 12,Alexânia,GO,( S ),16S051400/48W301600,251 / 98.10,ZYT235
ASSOCIACAO DOS MOV.POPULARES DE ALTO HORIZONTE-GOIAS-AMPAH,RUA GENIPAPO,Alto Horizonte,GO,( S ),14S114300/49W201500,200 / 87.90,ZYL472
ASSOCIACAO COMUNITARIA DE VILA SAO JORGE - ASJOR,,Alto Paraíso de Goiás,GO,( N ),,200 / 87.90,
ASSOCIACAO GRUPO DE APOIO AO MEIO AMBIENTE - 'GAMA',"AVENIDA ARI VALADAO FILHO, 1035 - SALA 03",Alto Paraíso de Goiás,GO,( S ),14S080000/47W310900,200 / 87.90,ZYC606
ASSOCIAÇÃO COMUNITÁRIA DOS PEQUENOS PRODUTORES AGRÍCOLAS DO MÉDIO NORDESTE GOIANO,AVENIDA BERNARDO SAYÃO,Alvorada do Norte,GO,( S ),14S290300/46W292300,285 / 104.90,ZYL480
ASSOCIACAO COMUNITARIA DE AMARALINA,,Amaralina,GO,( N ),,285 / 104.90,
ASSOCIAÇÃO CULTURAL COMUNITÁRIA CIÊNCIA DE ANÁPOLIS,RUA 05 - QUADRA 09 - LOTE 30,Anápolis,GO,( S ),16S220200/48W562500,200 / 87.90,ZYT210
ASSOCIACAO CULTURAL VIDA NOVA,RUA  MANOEL D'ABADIA,Anápolis,GO,( S ),16S193900/48W571700,200 / 87.90,ZYT236
ASSOCIAÇÃO PROVISÃO DE RADIODIFUSÃO E APOIO AO MENOR - APRAM,RUA PARANAPIACABA - QUADRA 13 - LOTE 04,Anápolis,GO,( S ),16S173400/48W571400,200 / 87.90,ZYT224
ASSOCIAÇÃO COMUNITÁRIA CULTURAL E ECOLÓGICA RIO DOS BOIS,AVENIDA TOCANTINS,Anicuns,GO,( S ),16S273400/49W573000,200 / 87.90,ZYC605
ASSOCIAÇÃO ARTÍSTICA E CULTURAL DE DESENVOLVIMENTO DO SETOR MARISTA SUL,RUA  4,Aparecida de Goiânia,GO,( S ),16S493800/49W163600,200 / 87.90,ZYT218
ASSOCIACAO COMUNITARIA SANTA LUZIA,RUA 45 - QUADRA 49 - LOTE 02,Aparecida de Goiânia,GO,( S ),16S443200/49W140100,200 / 87.90,ZYT272
ASSOCIACAO COMUNITARIA VILA ALZIRA,RUA  L-011,Aparecida de Goiânia,GO,( S ),16S464900/49W161500,200 / 87.90,ZYT204
ASSOCIAÇÃO CRISTÃ SHALLON,RUA  14-A,Aparecida de Goiânia,GO,( S ),16S450500/49W200200,200 / 87.90,ZYT298
ASSOCIACAO DE APOIO COMUNITARIO BETHEL,"AVENIDA C 50, S/N - QD APM 9 - LT 09B",Aparecida de Goiânia,GO,( S ),16S481300/49W192300,200 / 87.90,ZYT242
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO ESPERANÇA DE APORÉ - FM,AVENIDA ÂNGELA MARIA COSTA MORAES,Aporé,GO,( S ),18S574600/51W552500,290 / 105.90,ZYV916
FUNDAÇÃO EDUCATIVA CULTURAL SEBASTIÃO OSVALDO COSTA - FECUSOCT,AVENIDA JOSÉ JACINTO DA SILVA,Araçu,GO,,16S211200/49W410900,200 / 87.90,
AMEI - ASSOCIAÇÃO COMUNITÁRIA MUNICIPAL EDUCACIONAL E INFORMATIVA,RUA 412 - QUADRA 05 - LOTE 20,Aragarças,GO,( S ),15S544300/52W143300,252 / 98.30,ZYT296
ASSOCIAÇÃO COMUNITÁRIA SHALON DE ARAGUAPAZ,AVENIDA SENADOR ANTÔNIO DE RAMOS CAIADO,Araguapaz,GO,( S ),15S053200/50W373700,200 / 87.90,ZYV936
ASSOCIACAO CULTURAL DE ARENOPOLIS,,Arenópolis,GO,( N ),,200 / 87.90,
ASSOCIACAO COMUNITÁRIA E DE DEFESA DO ECOSSIST.DA BACIA DO RIO ARAGUAIA,RUA MARANHÃO - QUADRA 02 - LOTE 01,Aruanã,GO,( S ),14S552100/51W045000,200 / 87.90,ZYT209
ASSOCIACAO COMUNITARIA DE AURILANDIA,"RUA CAPITAO LEOBINO RIBEIRO COUTINHO, S/N",Aurilândia,GO,( S ),16S404200/50W275000,200 / 87.90,ZYC604
ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE AVELINOPOLIS,AVENIDA PARANAIGUARA - ESQUINA COM A RUA 14,Avelinópolis,GO,( S ),16S280900/49W453300,200 / 87.90,ZYT267
ASSOCIAÇÃO COMUNITÁRIA DE BARRO ALTO - GO,RUA LAGUNA - QUADRA 16 - LOTE 24,Barro Alto,GO,( S ),14S581500/48W545700,200 / 87.90,ZYT268
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE BELA VISTA DE GOIÁS,AVENIDA SENADOR PEDRO LUDOVICO TEIXEIRA,Bela Vista de Goiás,GO,( S ),16S583900/48W571000,200 / 87.90,ZYT297
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE BOM JARDIM DE GOIÁS - ASCOBOM,AVENIDA MARIA ANTUNES TEIXEIRA,Bom Jardim de Goiás,GO,( S ),16S120800/52W102400,285 / 104.90,ZYL475
ASSOCIAÇÃO CULTURAL E CIENTÍFICA JOSELINE PEREIRA DE OLIVEIRA,RUA UM,Bom Jesus de Goiás,GO,( S ),18S130300/49W442000,200 / 87.90,ZYL482
ASSOCIACAO DE COMUNICACAO E CULTURA DE BONFINOPOLIS,"AVENIDA BRASILIA, 541",Bonfinópolis,GO,( S ),16S371000/48W575800,200 / 87.90,ZYC603
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE BONÓPOLIS,RUA JORGE ALVES,Bonópolis,GO,,13S382200/49W483600,200 / 87.90,ZYV923
ASSOCIACAO COMUNITARIA DE PRESERVACAO AMBIENTAL DE BRAZABRANTES GO,,Brazabrantes,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL LAGO DOS TIGRES,,Britânia,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE BURITI ALEGRE,RUA FREDERICO DIAS BATISTA,Buriti Alegre,GO,( S ),18S075200/49W022500,254 / 98.70,ZYC602
ASSOCIAÇÃO COMUNITÁRIA EDUCATIVA E DE RADIODIFUSÃO DE CABECEIRAS - GO - ACERC,RUA HORTENCIA,Cabeceiras,GO,( S ),15S482400/46W552000,200 / 87.90,ZYT269
ASSOCIACAO COMUNIT. DE COMUNIC.DE CACHOEIRA ALTA-GO (ACCCA),"AVENIDA BRASIL, S/NÊ",Cachoeira Alta,GO,( S ),18S450300/50W563500,285 / 104.90,ZYC601
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DE CACHOEIRA DOURADA - GO E DISTRITOS,RUA 10 B - QUADRA 23 - LOTES 03/05,Cachoeira Dourada,GO,( S ),18S292500/49W283400,200 / 87.90,ZYT291
ASSOCIACAO COMUNITARIA E CULTURAL DE CACU,"RUA MANOEL CARNEIRO GUIMARAES, 699",Caçu,GO,( S ),18S535500/51W081800,200 / 87.90,ZYC607
ASSOCIAÇÃO COMUNITÁRIA CULTURA E SAÚDE,AVENIDA AMÉRICO FERNANDES,Caiapônia,GO,( S ),16S572600/51W483100,285 / 104.90,ZYC600
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO CULTURAL DE CALDAS NOVAS,AVENIDA M,Caldas Novas,GO,( S ),17S453600/48W394400,254 / 98.70,ZYV962
"ASSOCIAÇÃO COMUNITÁRIA, EDUCATIVA, CULTURAL, INFORMATIVA, ARTÍSTICA, TURÍSTICA E DO MEIO AMBIENTE DE CALDAS NOVAS - GO",AVENIDA CORONEL BENTO DE GODOY,Caldas Novas,GO,( S ),17S443700/48W373300,254 / 98.70,ZYV902
ASSOCIAÇÃO CULTURAL E EDUCACIONAL DE CALDAS NOVAS,AVENIDA CENTRAL,Caldas Novas,GO,,17S430800/48W393600,254 / 98.70,ZYV971
ASSOCIAÇÃO MANANCIAL DAS ÁGUAS QUENTES,RUA PRESIDENTE EPTACIO PESSOA,Caldas Novas,GO,,17S422400/48W364900,254 / 98.70,ZYV978
ASSOCIAÇÃO RÁDIO CIDADE FM,RUA 01; QUADRA 03; LOTE,Caldas Novas,GO,,17S395800/48W422000,254 / 98.70,ZYV950
RÁDIO COMUNITÁRIA DE CALDAS NOVAS,AVENIDA MIRIAN CAIXETA BANDEIRA - LOTE 25 - QUADRA 19,Caldas Novas,GO,( S ),17S443700/48W351400,254 / 98.70,ZYV914
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE CAMPINAÇU,RUA 06,Campinaçu,GO,,13S471300/48W340600,254 / 98.70,ZYV972
ASSOCIAÇÃO BENEFICENTE CULTURAL COMUNITÁRIA DE APOIO A CAMPINORTE - ABCCACAMP,AVENIDA MARANHAO,Campinorte,GO,( S ),14S185100/49W090300,200 / 87.90,ZYV915
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE CAMPO LIMPO DE GOIÁS,AVENIDA BALTAZAR CARDOSO,Campo Limpo de Goiás,GO,( S ),16S174600/49W053600,200 / 87.90,ZYV959
ASSOCIACAO DO BAIRRO SETOR AEROPORTO,RUA C2 - QUADRA 19 - LOTE 04,Campos Belos,GO,( S ),13S010900/46W463500,200 / 87.90,ZYC599
ASSOCIACAO COMUNITARIA DE CAMPOS VERDES - GO,"AVENIDA COSTELAO I, S/N",Campos Verdes,GO,( S ),14S155500/49W392400,285 / 104.90,ZYT239
ASSOCIACAO RADIO COMUNITARIA DE CARMO DO RIO VERDE/GO,"AVENIDA JOAO MARINHO DE SOUZA, 18",Carmo do Rio Verde,GO,( S ),15S212200/49W420500,200 / 87.90,ZYC598
ASSOCIACAO CULTURAL DA NOVA JUVENTUDE CASTELANDENSE,,Castelândia,GO,( N ),,200 / 87.90,
ASSOCIACAO DE RADIODIFUSÃO COMUNITÁRIA DE CATALÃO,RUA ANA ROSA DE JESUS,Catalão,GO,( S ),18S085900/47W554000,200 / 87.90,ZYC597
ASSOCIACAO RADIO CLUBE OPCAO COMUNITARIA,RUA 91,Catalão,GO,( S ),18S111000/47W561200,200 / 87.90,ZYL470
ASSOCIACAO COMUNITARIA SANTO ANTONIO DE PADUA DE CATURAI,"RUA MINAS GERAIS, 315",Caturaí,GO,,16S264900/49W292300,200 / 87.90,ZYC596
TV E RÁDIO CIDADE FM,RUA LEOPOLDINA SALGADO,Ceres,GO,,15S183000/49W355200,200 / 87.90,ZYV957
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO NOVA DE PAZ - FM,AVENIDA TURVÂNIA,Cezarina,GO,,16S582000/49W455700,200 / 87.90,ZYV904
CONSTELACAO ASSOCIACAO CULTURAL,"AVENIDA NETUNO, S/NÊ",Chapadão do Céu,GO,( S ),18S242700/52W325600,200 / 87.90,ZYC618
ASSOCIAÇÃO PRÓ-CIDADANIA - ASSOCIAÇÃO DE VOLUNTÁRIOS NO DESENVOLVIMENTO HUMANO E DIFUSÃO CULTURAL DE CIDADE OCIDENTAL,SQ 17 - QUADRA 01 - LOTE 48,Cidade Ocidental,GO,,16S061600/47W553800,251 / 98.10,ZYV948
ASSOCIACAO GERAL DOS TRAB. DE COCALZINHO DE GOIAS - AGETACO,"AVENIDA ARAGUAIA, 49 - QUADRA 10 - LOTE 5",Cocalzinho de Goiás,GO,( S ),15S471600/48W462100,251 / 98.10,ZYL467
ASSOCIAÇÃO CULTURAL COLINENSE DE DIFUSÃO COMUNITÁRIA,AVENIDA ARY VALADÃO FILHO - QUADRA 82 - LOTE 01,Colinas do Sul,GO,,14S090500/48W042900,200 / 87.90,ZYV966
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO ALTO DA BOA VISTA,RUA NOSSA SENHORA DA PENHA,Corumbá de Goiás,GO,( S ),15S554600/48W485100,200 / 87.90,ZYV922
ASSOCIAÇÃO DE DIFUSÃO ARTÍSTICA E CULTURAL DE CORUMBAIBA-GOIAS ADACCG,AVENIDA DUQUE DE CAXIAS,Corumbaíba,GO,,18S111000/48W333600,200 / 87.90,ZYV951
ASSOCIAÇÃO DE MORADORES DA VILA AMORIM (AMVA),AV. SIRLEY HENRIQUE DANTAS DE JESUS;,Corumbaíba,GO,( S ),18S085900/48W335800,200 / 87.90,ZYV941
ASSOCIACAO COMUNITARIA DE CAMPOS LINDOS - ACCL,SETOR D - QUADRA 04 - LOTE 06,Cristalina,GO,,16S062200/47W305500,200 / 87.90,ZYT232
ASSOCIACAO DE MORADORES COMUNIDADE CRISTALINENSE,"RUA ARLINDO AGUIAR, 984 - QUADRA 73 - LOTE 05",Cristalina,GO,( S ),16S465800/47W370100,200 / 87.90,ZYL479
ASSOCIAÇÃO COMUNITÁRIA CRIXÁS PARA TODOS,RUA DO COMÉRCIO ESQUINA COM A RUA H,Crixás,GO,( S ),14S323200/49W580600,200 / 87.90,ZYV901
ASSOCIACAO PLANURA VERDE DE RADIODIFUSAO COMUNITARIA,"AVENIDA OSWALDO CRUZ, 1011",Cromínia,GO,,17S171900/49W223100,200 / 87.90,ZYT211
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE CUMARI,RUA LEANDRO JORGE,Cumari,GO,( S ),18S155000/48W091400,285 / 104.90,ZYV931
ASSOCIAÇÃO DE PROMOÇÃO SOCIAL E RADIODIFUSÃO COMUNITÁRIA DE DAMIANÓPOLIS (APRODAMI),,Damianópolis,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE RADIODIFUSÃO DE DAVINÓPOLIS - GOÍAS - ACCORDA,RUA JOANA GOMES - QUADRA 22 - LOTE 08,Davinópolis,GO,( S ),18S091200/47W334800,200 / 87.90,ZYV940
ASSOCIAÇÃO RÁDIO COMUNITÁRIA VOZ DA PROMISSÃO FM DE DIVINÓPOLIS DE GOIÁS,AVENIDA DOS PROFESSORES,Divinópolis de Goiás,GO,( S ),13S173100/46W234300,200 / 87.90,ZYC612
ASSOCIAÇÃO COMUNITÁRIA CULTURA E EDUCAÇÃO DE DOVERLÂNDIA,AVENIDA SÃO MIGUEL - QUADRA 01 - LOTE 19/20,Doverlândia,GO,( S ),16S433200/52W184200,200 / 87.90,ZYT294
ASSOCIAÇÃO COMUNITÁRIA DE EDEALINA,AVENIDA 21,Edealina,GO,( S ),17S253000/49W394800,200 / 87.90,ZYT292
ASSOCIAÇÃO CULTURAL ORLANDO DO CARMO ARANTES DE EDÉIA - GO,AVENIDA JOAQUIM VITAL,Edéia,GO,( S ),17S202400/49W555000,200 / 87.90,ZYT284
ASSOCIAÇÃO CULTURAL DOS MORADORES DE FAINA,RUA FÉLIX DE BRITO,Faina,GO,( S ),15S264100/50W220400,200 / 87.90,ZYV973
ASSOCIAÇÃO COMUNITÁRIA DE FIRMINÓPOLIS,AVENIDA RUI BARBOSA,Firminópolis,GO,,16S352200/50W183400,200 / 87.90,ZYL478
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DOS TRABALHADORES DE FLORES DE GOIÁS,RUA 10 - QUADRA 18 - LOTE 06,Flores de Goiás,GO,( S ),14S272200/47W022300,200 / 87.90,ZYV920
ASSOCIACAO PROGRESSO DO DISTRITO DO BEZERRA - APDB,,Formosa,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA TERRA,RUA 13,Formosa,GO,,15S313700/47W195400,200 / 87.90,ZYV967
ASSOCIAÇÃO GENTIL COLOCA DE RADIODIFUSÃO E CULTURA DE GAMELEIRA,RUA 01,Gameleira de Goiás,GO,( S ),16S285000/48W383900,200 / 87.90,ZYV977
ASSOCIAÇÃO GOIANAPOLINA DE DESENVOLVIMENTO ARTÍSTICO/CULTURAL - FM (AGDA-FM),RUA 04,Goianápolis,GO,( S ),16S303200/49W011700,200 / 87.90,ZYT205
ASSOCIAÇÃO DE MORADORES DA CIDADE DE GOIANDIRA - GO,PRAÇA FRANCISCO JOSÉ DE JESUS,Goiandira,GO,( S ),18S075400/48W050600,285 / 104.90,ZYT299
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA BOA NOVA DE GOIANÉSIA,RUA VINTE E NOVE; NR 359 - QUADRA 166 - LOTE 16,Goianésia,GO,( S ),15S195200/49W073800,200 / 87.90,ZYL481
ASSOCIAÇÃO COMUNITARIA DO SETOR FAMA E REGIÃO - ASCOMFAR,,Goiânia,GO,( N ),,200 / 87.90,
ASSOCIACAO CULTURAL COMUNITARIA DO JARDIM NOVO MUNDO E ADJACENCIAS,,Goiânia,GO,( N ),,200 / 87.90,
ASSOCIACAO DA RADIO COMUNITARIA SHALON FM,,Goiânia,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA PARQUE AMAZÔNIA,RUA CAAPI - QUADRA 63 - LOTE 02,Goiânia,GO,( S ),16S434900/49W162600,200 / 87.90,ZYT241
ASSOCIAÇÃO DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL LIBERDADE DE GOIÂNIA,RUA 56. - QUADRA 70 - LOTE 25,Goiânia,GO,,16S473000/49W213100,200 / 87.90,ZYV939
SOCIEDADE ACAO COMUNITARIA E CIDADANIA DA CIDADE DE GOIAS,PRAÇA JORNALISTA GOIÁS DO COUTO,Goiás,GO,( S ),15S563600/50W084200,200 / 87.90,ZYL484
ASSOCIAÇÃO CULTURAL E EDUCATIVA DE GOIATUBA,RUA MINAS GERAIS,Goiatuba,GO,( S ),18S004300/49W221000,254 / 98.70,ZYT275
"ASSOCIAÇÃO DE RADIODIFUSÃO, COMUNICAÇÃO E JORNALISMO COMUNITÁRIO",AVENIDA ANGELINA FERNANDES ROCHA,Gouvelândia,GO,( S ),18S263300/50W080800,200 / 87.90,ZYV935
ASCOG - ASSOCIACAO COMUNITARIA DE GUAPO,"AVENIDA CRISTALINA, 1082",Guapó,GO,( S ),16S494700/49W323200,200 / 87.90,ZYT221
ASSOCIACAO DE RADIOFUSAO CULTURAL E AMBIENTAL DE HEITORAI,,Heitoraí,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA INDEPENDENTE PRÓ-MELHORAMENTO DE NOVA FÁTIMA,AVENIDA JUSTINO PEREIRA CARDOSO - QUADRA 10 - LOTE 04,Hidrolândia,GO,( S ),16S541700/49W193400,200 / 87.90,ZYT285
ASSOCIACAO COMUNITARIA JABUTICABAL DE HIDROLANDIA,"RUA VERADOR ANTONIO MIRANDA, 711",Hidrolândia,GO,( S ),16S575800/49W135100,200 / 87.90,ZYC611
ASSOCIACAO DE DIFUSAO COMUNITARIA DE HIDROLINA,RUA IRACY LUIZ,Hidrolina,GO,( S ),14S433000/49W275000,200 / 87.90,ZYV906
RCI - RÁDIO COMUNITÁRIA DE IACIARA,AVENIDA 21 DE ABRIL,Iaciara,GO,( S ),14S064200/46W385400,285 / 104.90,ZYV927
ASSOCIAÇÃO COMUNITÁRIA E EDUCACIONAL E CULTURAL DE INACIOLÂNDIA,RUA 11,Inaciolândia,GO,( S ),18S291100/49W590800,200 / 87.90,ZYC609
ASSOCIAÇÃO CULTURAL DO MUNICÍPIO DE INDIARA - GOIÁS - RÁDIO EDUCATIVA FM,RUA DAS PALMEIRAS - QUADRA 03 - LOTE 14,Indiara,GO,( S ),17S083800/49W595900,200 / 87.90,ZYC610
FUNDACAO EDUCATIVA E CULTURAL DE INHUMAS (FECI),"RUA PRESIDENTE GETULIO VARGAS, 819 - 1Ì ANDAR",Inhumas,GO,( S ),16S215200/49W294700,200 / 87.90,ZYT282
