Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIACAO COMUNITARIA A VOZ DE BEBEDOURO,"LADEIRA PROFESSOR BENEDITO SILVA, 92",Maceió,AL,,09S372800/35W450900,200 / 87.90,ZYC243
ASSOCIAÇÃO DOS MORADORES DA RUA DO CAMPO-AMORUCAMPO,RUA JOSE LOBO DE MEDEIROS;,Maceió,AL,( S ),09S343900/35W462700,200 / 87.90,ZYS299
ASSOCIACAO DOS MORADORES DO LOTEAMENTO JARDIM SANTA-ANA,LOTEAMENTO JARDIM SANTA ANA - PATIO DA CAIXA D'AGU,Maceió,AL,( S ),09S361600/35W433200,200 / 87.90,ZYS240
ASSOCIACAO DOS FILHOS E AMIGOS DE SAO MARCOS,,,AL,( N ),,285 / 104.90,
ASSOCIAÇÃO RÁDIO COMUNITÁRIA MAJOR IZIDORO FM,RUA FLORIANO PEIXOTO; SN,Major Isidoro,AL,( S ),09S320500/36W593100,285 / 104.90,ZYS273
ASSOCIAÇÃO COMUNITÁRIA RENASCER,RUA PROFESSOR JOSÉ FARIAS,Mar Vermelho,AL,,09S270200/36W231600,285 / 104.90,ZYS293
ASSOCIACAO COMUNITARIA DE RADIODIFUSAO DE MARAGOGI - AL,PRACA SANTO ANTONIO,Maragogi,AL,( S ),09S004900/35W132200,200 / 87.90,ZYC241
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE MARAVILHA - ALAGOAS,RUA SAGRADA FAMÍLIA,Maravilha,AL,( S ),09S135700/37W211200,200 / 87.90,ZYS267
ASSOCIAÇÃO DOS MORADORES DO POVOADO PEDRAS,AVENIDA DR. TAVARES BASTOS,Marechal Deodoro,AL,( S ),09S430400/35W533700,200 / 87.90,ZYS301
ASSOCIACAO COMUNITARIA DE RADIODIFUSAO DE MARIBONDO,,,AL,( N ),,285 / 104.90,
ASSOCIACAO DE DIFUSAO COMUNITARIA DE MATA GRANDE - ADICOMAG,,,AL,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO 'HAMILTON DE BARROS LINS',RUA PREFEITO AROLDO LOUREIRO,Matriz de Camaragibe,AL,( S ),09S092900/35W315900,200 / 87.90,ZYS295
ASSOCIAÇÃO DOS PEQUENOS INDUSTRIAIS E COMERCIANTES DO MUNICÍPIO DE MESSIAS - AL,RUA FLORIANO PEIXOTO,Messias,AL,( S ),09S231300/35W502100,200 / 87.90,ZYS289
